domain,rank,display_name,model_id,metric,value,value_x100
AgenticCoding,2,Gemini-3.1 Pro,gemini-3.1-pro-preview,tools,0.90291807,90.291807
AgenticCoding,2,Gemini-3.1 Pro,gemini-3.1-pro-preview,rules,0.87298783,87.298783
AgenticCoding,3,Claude Opus 4.7,claude-opus-4.7,overall,0.84990482,84.990482
AgenticCoding,3,Claude Opus 4.7,claude-opus-4.7,task,0.86477482,86.477482
AgenticCoding,3,Claude Opus 4.7,claude-opus-4.7,planning,0.82692308,82.692308
AgenticCoding,3,Claude Opus 4.7,claude-opus-4.7,tools,0.81818182,81.818182
AgenticCoding,3,Claude Opus 4.7,claude-opus-4.7,rules,0.88973956,88.973956
AgenticCoding,4,Kimi K2.6,kimi-k2.6,overall,0.84301756,84.301756
AgenticCoding,4,Kimi K2.6,kimi-k2.6,task,0.82709099,82.709099
AgenticCoding,4,Kimi K2.6,kimi-k2.6,planning,0.81410256,81.410256
AgenticCoding,4,Kimi K2.6,kimi-k2.6,tools,0.85746352,85.746352
AgenticCoding,4,Kimi K2.6,kimi-k2.6,rules,0.87341317,87.341317
AgenticCoding,5,DeepSeek V4 Pro,deepseek-v4-pro,overall,0.83775325,83.775325
AgenticCoding,5,DeepSeek V4 Pro,deepseek-v4-pro,task,0.81525735,81.525735
AgenticCoding,5,DeepSeek V4 Pro,deepseek-v4-pro,planning,0.86217949,86.217949
AgenticCoding,5,DeepSeek V4 Pro,deepseek-v4-pro,tools,0.86363636,86.363636
AgenticCoding,5,DeepSeek V4 Pro,deepseek-v4-pro,rules,0.80993980,80.993980
AgenticCoding,6,Claude Sonnet 4.6,claude-sonnet-4.6,overall,0.82997726,82.997726
AgenticCoding,6,Claude Sonnet 4.6,claude-sonnet-4.6,task,0.86040901,86.040901
AgenticCoding,6,Claude Sonnet 4.6,claude-sonnet-4.6,planning,0.87820513,87.820513
AgenticCoding,6,Claude Sonnet 4.6,claude-sonnet-4.6,tools,0.72109989,72.109989
AgenticCoding,6,Claude Sonnet 4.6,claude-sonnet-4.6,rules,0.86019500,86.019500
AgenticCoding,7,DeepSeek V4 Flash,deepseek-v4-flash,overall,0.81323881,81.323881
AgenticCoding,7,DeepSeek V4 Flash,deepseek-v4-flash,task,0.86684283,86.684283
AgenticCoding,7,DeepSeek V4 Flash,deepseek-v4-flash,planning,0.81410256,81.410256
AgenticCoding,7,DeepSeek V4 Flash,deepseek-v4-flash,tools,0.74410774,74.410774
AgenticCoding,7,DeepSeek V4 Flash,deepseek-v4-flash,rules,0.82790211,82.790211
AgenticCoding,8,GLM-5.1,glm-5.1,overall,0.80827519,80.827519
AgenticCoding,8,GLM-5.1,glm-5.1,task,0.87120864,87.120864
AgenticCoding,8,GLM-5.1,glm-5.1,planning,0.75320513,75.320513
AgenticCoding,8,GLM-5.1,glm-5.1,tools,0.81818182,81.818182
AgenticCoding,8,GLM-5.1,glm-5.1,rules,0.79050517,79.050517
AgenticCoding,9,Qwen3.6 Max,qwen3.6-max-preview,overall,0.79924062,79.924062
AgenticCoding,9,Qwen3.6 Max,qwen3.6-max-preview,task,0.80744485,80.744485
AgenticCoding,9,Qwen3.6 Max,qwen3.6-max-preview,planning,0.80769231,80.769231
AgenticCoding,9,Qwen3.6 Max,qwen3.6-max-preview,tools,0.81818182,81.818182
AgenticCoding,9,Qwen3.6 Max,qwen3.6-max-preview,rules,0.76364350,76.364350
AgenticCoding,10,Seed 2.0 Pro,doubao-seed-2.0-pro,overall,0.78672114,78.672114
AgenticCoding,10,Seed 2.0 Pro,doubao-seed-2.0-pro,task,0.75252757,75.252757
AgenticCoding,10,Seed 2.0 Pro,doubao-seed-2.0-pro,planning,0.84294872,84.294872
AgenticCoding,10,Seed 2.0 Pro,doubao-seed-2.0-pro,tools,0.81200898,81.200898
AgenticCoding,10,Seed 2.0 Pro,doubao-seed-2.0-pro,rules,0.73939929,73.939929
AgenticCoding,11,Mimo v2.5 Pro,mimo-v2.5-pro,overall,0.78508618,78.508618
AgenticCoding,11,Mimo v2.5 Pro,mimo-v2.5-pro,task,0.81364890,81.364890
AgenticCoding,11,Mimo v2.5 Pro,mimo-v2.5-pro,planning,0.78205128,78.205128
AgenticCoding,11,Mimo v2.5 Pro,mimo-v2.5-pro,tools,0.78338945,78.338945
AgenticCoding,11,Mimo v2.5 Pro,mimo-v2.5-pro,rules,0.76125507,76.125507
AgenticCoding,12,GPT-OSS-120B,gpt-oss-120b,overall,0.77102632,77.102632
AgenticCoding,12,GPT-OSS-120B,gpt-oss-120b,task,0.84880515,84.880515
AgenticCoding,12,GPT-OSS-120B,gpt-oss-120b,planning,0.74358974,74.358974
AgenticCoding,12,GPT-OSS-120B,gpt-oss-120b,tools,0.73569024,73.569024
AgenticCoding,12,GPT-OSS-120B,gpt-oss-120b,rules,0.75602015,75.602015
AgenticCoding,13,Qwen3.5-122B-A10B,qwen3.5-122b-a10b,overall,0.75010865,75.010865
AgenticCoding,13,Qwen3.5-122B-A10B,qwen3.5-122b-a10b,task,0.77964154,77.964154
AgenticCoding,13,Qwen3.5-122B-A10B,qwen3.5-122b-a10b,planning,0.74358974,74.358974
AgenticCoding,13,Qwen3.5-122B-A10B,qwen3.5-122b-a10b,tools,0.73793490,73.793490
AgenticCoding,13,Qwen3.5-122B-A10B,qwen3.5-122b-a10b,rules,0.73926842,73.926842
AgenticCoding,14,Qwen3.5-27B,qwen3.5-27b,overall,0.73959001,73.959001
AgenticCoding,14,Qwen3.5-27B,qwen3.5-27b,task,0.77619485,77.619485
AgenticCoding,14,Qwen3.5-27B,qwen3.5-27b,planning,0.83333333,83.333333
AgenticCoding,14,Qwen3.5-27B,qwen3.5-27b,tools,0.64702581,64.702581
AgenticCoding,14,Qwen3.5-27B,qwen3.5-27b,rules,0.70180605,70.180605
AgenticCoding,15,GPT-OSS-20B,gpt-oss-20b,overall,0.72272629,72.272629
AgenticCoding,15,GPT-OSS-20B,gpt-oss-20b,task,0.80043658,80.043658
AgenticCoding,15,GPT-OSS-20B,gpt-oss-20b,planning,0.80128205,80.128205
AgenticCoding,15,GPT-OSS-20B,gpt-oss-20b,tools,0.59147026,59.147026
AgenticCoding,15,GPT-OSS-20B,gpt-oss-20b,rules,0.69771627,69.771627
AgenticCoding,16,Qwen3.5-9B,qwen3.5-9b,overall,0.71595236,71.595236
AgenticCoding,16,Qwen3.5-9B,qwen3.5-9b,task,0.71507353,71.507353
AgenticCoding,16,Qwen3.5-9B,qwen3.5-9b,planning,0.74038462,74.038462
AgenticCoding,16,Qwen3.5-9B,qwen3.5-9b,tools,0.74017957,74.017957
AgenticCoding,16,Qwen3.5-9B,qwen3.5-9b,rules,0.66817171,66.817171
AgenticCoding,17,Qwen3.5-35B-A3B,qwen3.5-35b-a3b,overall,0.70805920,70.805920
AgenticCoding,17,Qwen3.5-35B-A3B,qwen3.5-35b-a3b,task,0.73805147,73.805147
AgenticCoding,17,Qwen3.5-35B-A3B,qwen3.5-35b-a3b,planning,0.75641026,75.641026
AgenticCoding,17,Qwen3.5-35B-A3B,qwen3.5-35b-a3b,tools,0.61391695,61.391695
AgenticCoding,17,Qwen3.5-35B-A3B,qwen3.5-35b-a3b,rules,0.72385813,72.385813
AgenticCoding,18,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,overall,0.61711647,61.711647
AgenticCoding,18,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,task,0.56835938,56.835938
AgenticCoding,18,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,planning,0.62820513,62.820513
AgenticCoding,18,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,tools,0.71997755,71.997755
AgenticCoding,18,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,rules,0.55192383,55.192383
